id,time,isRank,winner_name,winner_god_1,winner_god_2,winner_god_ban,winner_deck_code,winner_normal_card_1,winner_normal_card_2,winner_normal_card_3,winner_normal_card_4,winner_normal_card_5,winner_normal_card_6,winner_normal_card_7,winner_special_card_1,winner_special_card_2,winner_special_card_3,loser_name,loser_god_1,loser_god_2,loser_god_ban,loser_deck_code,loser_normal_card_1,loser_normal_card_2,loser_normal_card_3,loser_normal_card_4,loser_normal_card_5,loser_normal_card_6,loser_normal_card_7,loser_special_card_1,loser_special_card_2,loser_special_card_3,loser_isPublic,winner_isPublic
1056,2022-10-14 14:47:01.854096,1,²î¿ä¹Ö????,01-O,14-O,09-O,010E44140F26,01-O-N-1,01-O-N-2,01-O-N-5,14-O-N-1,14-O-N-2,14-O-N-3,14-O-N-6,01-O-S-2,14-O-S-2,14-O-S-3,hibro,10-A2,11-O,14-O,102A28110F39,10-A2-N-2,10-O-N-6,11-O-N-1,11-O-N-2,11-O-N-3,11-O-N-6,11-O-N-7,10-O-S-1,11-O-S-1,11-O-S-4,1,1
1057,2022-10-14 15:15:59.516539,1,²î¿ä¹Ö????,14-O,01-O,04-O,140E82010F8C,14-O-N-1,14-O-N-2,14-O-N-4,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,14-O-S-3,01-O-S-1,01-O-S-2,hibro,02-O,14-O,16-A1,020F16140E24,02-O-N-1,02-O-N-2,02-O-N-3,02-O-N-7,14-O-N-1,14-O-N-2,14-O-N-6,02-O-S-2,02-O-S-3,14-O-S-2,1,1
1058,2022-10-14 15:32:44.681390,1,hibro,20-O,08-A1,06-O,200A98081EC6,20-O-N-2,20-O-N-4,20-O-N-7,08-A1-N-1,08-A1-N-2,08-O-N-4,08-O-N-5,20-O-S-1,08-O-S-2,08-O-S-3,²î¿ä¹Ö????,01-O,09-O,21-O,010ECC090E42,01-O-N-1,01-O-N-2,01-O-N-4,01-O-N-5,09-O-N-1,09-O-N-2,09-O-N-5,01-O-S-1,01-O-S-2,09-O-S-3,1,1
1059,2022-10-14 15:51:29.884556,1,hibro,13-A1,09-O,16-AA1,131F54090E0A,13-O-N-1,13-A1-N-2,13-O-N-3,13-O-N-5,13-O-N-7,09-O-N-1,09-O-N-2,13-O-S-2,09-O-S-1,09-O-S-3,²î¿ä¹Ö????,01-O,19-O,15-O,010E28190EA9,01-O-N-1,01-O-N-2,01-O-N-6,19-O-N-1,19-O-N-2,19-O-N-4,19-O-N-6,01-O-S-1,19-O-S-1,19-O-S-4,1,1
1060,2022-10-14 16:38:15.964458,0,hibro,19-O,11-A1,01-A2,1908B1111C79,19-O-N-4,19-O-N-6,19-O-N-7,11-O-N-1,11-A1-N-5,11-O-N-6,11-O-N-7,19-O-S-4,11-A1-S-1,11-O-S-4,²î¿ä¹Ö????,01-O,09-O,05-O,010E45090E62,01-O-N-1,01-O-N-2,01-O-N-5,09-O-N-1,09-O-N-2,09-O-N-5,09-O-N-6,01-O-S-2,01-O-S-4,09-O-S-3,1,1
1061,2022-10-14 19:10:17.559778,0,horain,01-O,16-A1,09-O,01092A161ED8,01-O-N-3,01-O-N-6,16-O-N-1,16-O-N-2,16-O-N-4,16-O-N-5,16-O-N-7,01-O-S-1,01-O-S-3,16-A1-S-4,Siper,06-A1,04-A2,14-O,061A84042EB3,06-A1-N-2,06-A1-N-4,04-O-N-1,04-A2-N-2,04-O-N-4,04-O-N-6,04-O-N-7,06-A1-S-2,04-A2-S-3,04-O-S-4,1,1
1062,2022-10-15 02:04:22.228940,0,0xrgb,09-O,05-O,03-O,090E46050F41,09-O-N-1,09-O-N-2,09-O-N-5,05-O-N-1,05-O-N-2,05-O-N-3,05-O-N-5,09-O-S-2,09-O-S-3,05-O-S-4,taoblue03,13-O,09-O,03-O,130F1C090D42,13-O-N-1,13-O-N-2,13-O-N-3,13-O-N-7,09-O-N-1,09-O-N-3,09-O-N-5,13-O-S-1,13-O-S-2,09-O-S-3,1,1
1063,2022-10-15 02:30:42.509804,0,taoblue03,03-O,09-O,13-O,030F4A090D42,03-O-N-1,03-O-N-2,03-O-N-3,03-O-N-5,09-O-N-1,09-O-N-3,09-O-N-5,03-O-S-1,03-O-S-3,09-O-S-3,0xrgb,08-A1,04-A2,19-O,081E1A042E32,08-A1-N-1,08-A1-N-2,08-O-N-7,04-O-N-1,04-A2-N-2,04-O-N-6,04-O-N-7,08-A1-S-1,08-O-S-3,04-A2-S-3,1,1
1064,2022-10-15 02:53:00.447771,1,hibro,15-O,06-A1,21-O,150F5A061984,15-O-N-1,15-O-N-2,15-O-N-3,15-O-N-5,15-O-N-7,06-O-N-3,06-A1-N-4,15-O-S-1,15-O-S-3,06-A1-S-2,²î¿ä¹Ö????,14-O,12-A1,09-O,140E26121F18,14-O-N-1,14-O-N-2,14-O-N-6,12-O-N-1,12-A1-N-2,12-O-N-3,12-O-N-7,14-O-S-2,14-O-S-3,12-O-S-1,1,1
1065,2022-10-15 03:13:40.597120,1,hibro,14-O,10-A2,11-O,140FA6102E01,14-O-N-1,14-O-N-2,14-O-N-3,14-O-N-4,14-O-N-6,10-A2-N-1,10-A2-N-2,14-O-S-2,14-O-S-3,10-A2-S-4,²î¿ä¹Ö????,05-O,01-O,21-O,050E49010F88,05-O-N-1,05-O-N-2,05-O-N-5,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,05-O-S-1,05-O-S-4,01-O-S-1,1,1
1066,2022-10-15 03:32:15.049598,1,hibro,04-A2,07-A1,17-A1,042E38071B25,04-O-N-1,04-A2-N-2,04-O-N-6,04-O-N-7,07-A1-N-2,07-O-N-3,07-O-N-6,04-O-S-1,07-O-S-2,07-O-S-4,²î¿ä¹Ö????,01-O,05-O,14-O,010F88050E45,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,05-O-N-1,05-O-N-2,05-O-N-5,01-O-S-1,05-O-S-2,05-O-S-4,1,1
